Scenario,Algorithm,Runtime (s),Distance,Visited Nodes,Start,Goal,Seed
empty,astar,0.0008139610290527344,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0007369518280029297,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0008835792541503906,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0007557868957519531,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0007474422454833984,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0007495880126953125,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0008764266967773438,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0007381439208984375,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0007441043853759766,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0007407665252685547,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0008723735809326172,7.292528739883944,17,"(2, 13, 9)","(4, 9, 4)",19
empty,astar,0.0008740425109863281,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0008471012115478516,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0008413791656494141,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0013098716735839844,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0008463859558105469,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0009195804595947266,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.00083160400390625,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0009829998016357422,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.00086212158203125,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.0008492469787597656,8.388905057061258,17,"(5, 5, 2)","(11, 10, 3)",20
empty,astar,0.00044536590576171875,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0005803108215332031,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.00044727325439453125,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0004363059997558594,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.00044465065002441406,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0005631446838378906,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0004303455352783203,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0004286766052246094,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0004405975341796875,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.0008935928344726562,5.5604779323150675,9,"(6, 7, 7)","(10, 8, 4)",21
empty,astar,0.00113677978515625,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.0011489391326904297,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.001135110855102539,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.001119852066040039,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.0011210441589355469,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.0011112689971923828,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.001127481460571289,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.001264810562133789,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.0011441707611083984,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.0011243820190429688,10.732050807568877,29,"(5, 4, 1)","(15, 3, 2)",22
empty,astar,0.004872322082519531,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.004747867584228516,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.0046465396881103516,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.004991292953491211,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.004689216613769531,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.00468897819519043,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.00471949577331543,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.00469660758972168,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.004670143127441406,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.004687070846557617,12.438793109825918,100,"(10, 2, 1)","(19, 5, 7)",23
empty,astar,0.0012784004211425781,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.001251220703125,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0012447834014892578,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0014204978942871094,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0014088153839111328,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0014204978942871094,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0016858577728271484,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0014071464538574219,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0014121532440185547,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.0014102458953857422,9.803118619434354,23,"(13, 10, 3)","(7, 3, 4)",24
empty,astar,0.002095460891723633,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.0020842552185058594,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.002084493637084961,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.002094268798828125,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.0020837783813476562,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.002094745635986328,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.0021276473999023438,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.0021011829376220703,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.0023648738861083984,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.0021011829376220703,12.806518407786358,41,"(13, 13, 1)","(7, 5, 8)",25
empty,astar,0.001840353012084961,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.0018537044525146484,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.001829385757446289,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.0018229484558105469,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.0018641948699951172,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.001833200454711914,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.0018160343170166016,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.0018277168273925781,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.0018215179443359375,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.002016782760620117,9.388905057061258,32,"(7, 11, 4)","(14, 10, 9)",26
empty,astar,0.004005908966064453,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.003733396530151367,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.0037605762481689453,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.0038030147552490234,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.0037071704864501953,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.0037021636962890625,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.0036835670471191406,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.003693819046020508,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.003731250762939453,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.003746509552001953,11.438793109825918,70,"(16, 12, 5)","(10, 4, 2)",27
empty,astar,0.0027108192443847656,14.82842712474619,57,"(4, 12, 3)","(18, 10, 3)",28
empty,astar,0.0027310848236083984,14.82842712474619,57,"(4, 12, 3)","(18, 10, 3)",28
empty,astar,0.0029900074005126953,14.82842712474619,57,"(4, 12, 3)","(18, 10, 3)",28
empty,astar,0.002712249755859375,14.82842712474619,57,"(4, 12, 3)","(18, 10, 3)",28
